phylum	ck	treatments	D_value	Body_size	Ln_body_size	group1	group2
Alphaproteobacteria	0.01381	0.04776	0.03395	0.4	-0.916290732	A	Warming
Deltaproteobacteria	0.02853	0.09184	0.06331	0.5	-0.693147181	A	Warming
Acidobacteria	-0.002901	0.1311	0.134001	0.5	-0.693147181	A	Warming
Gemmatimonadetes	0.02137	0.1508	0.12943	0.5	-0.693147181	A	Warming
Bacteroidetes	0.01942	0.0675	0.04808	0.5	-0.693147181	A	Warming
Verrucomicrobia	0.007274	0.1314	0.124126	0.6	-0.510825624	A	Warming
Planctomycetes	-0.01979	0.1376	0.15739	1	0	A	Warming
Chloroflexi	-0.008945	0.123	0.131945	1.2	0.182321557	A	Warming
Firmicutes	0.03411	0.2669	0.23279	3	1.098612289	A	Warming
Actinobacteria	0.01011	0.1635	0.15339	4	1.386294361	A	Warming
Chytridiomycota	0.004405	0.09565	0.091245	4.85	1.578978705	A	Warming
Gammaproteobacteria	0.0348	0.0954	0.0606	5	1.609437912	A	Warming
Nitrospirae	0.009237	0.2055	0.196263	5	1.609437912	A	Warming
Tremellomycetes	0.02241	0.1432	0.12079	8.82	2.17702187	A	Warming
Agaricomycetes	0.0219	0.07423	0.05233	9.16	2.214846179	A	Warming
Schizoplasmodiida	0.1045	0.0928	-0.0117	11.88	2.474856314	B	Warming
Leotiomycetes	0.1176	0.171	0.0534	12.46	2.522523513	A	Warming
Cercozoa	0.06918	0.03325	-0.03593	14.14	2.64900766	B	Warming
Eurotiomycetes	0.01727	0.07902	0.06175	18.34	2.909084467	A	Warming
Sordariomycetes	0.06065	0.1819	0.12125	20.99	3.044046134	A	Warming
Tubulinea	0.1383	0.02466	-0.11364	21.77	3.080532875	B	Warming
Dothideomycetes	0.08723	0.1052	0.01797	28.25	3.341093458	A	Warming
Ochrophyta	0.06726	0.0637	-0.00356	40.48	3.700808025	B	Warming
Ciliophora	-0.009229	-0.04814	-0.038911	71.89	4.275137173	B	Warming
Alphaproteobacteria	0.01381	0.04378	0.02997	0.4	-0.916290732	A	addN
Deltaproteobacteria	0.02853	0.1112	0.08267	0.5	-0.693147181	A	addN
Acidobacteria	-0.002901	0.07661	0.079511	0.5	-0.693147181	A	addN
Gemmatimonadetes	0.02137	0.1686	0.14723	0.5	-0.693147181	A	addN
Bacteroidetes	0.01942	0.123	0.10358	0.5	-0.693147181	A	addN
Verrucomicrobia	0.007274	0.01847	0.011196	0.6	-0.510825624	A	addN
Planctomycetes	-0.01979	0.0293	0.04909	1	0	A	addN
Chloroflexi	-0.008945	0.1038	0.112745	1.2	0.182321557	A	addN
