phylum	tax	body_size	Ln_body_size	total	GENERALIST	SPECIALIST	NON SIGNIFICANT	G_ratio	S_ratio	N_ratio
Schizoplasmodiida	Protists	11.88	2.474856314	123	9	41	73	0.073170732	0.333333333	0.593495935
Cercozoa	Protists	14.14	2.64900766	3146	306	1215	1625	0.09726637	0.386204704	0.516528926
Tubulinea	Protists	21.77	3.080532875	43	3	22	18	0.069767442	0.511627907	0.418604651
Ochrophyta	Protists	40.48	3.700808025	612	53	234	325	0.086601307	0.382352941	0.531045752
Ciliophora	Protists	71.89	4.275137173	1150	60	427	663	0.052173913	0.371304348	0.576521739
Chytridiomycota	Fungi	4.85	1.578978705	526	44	149	333	0.08365019	0.283269962	0.633079848
Tremellomycetes	Fungi	8.82	2.17702187	18	1	9	8	0.055555556	0.5	0.444444444
Agaricomycetes	Fungi	9.16	2.214846179	218	16	83	119	0.073394495	0.380733945	0.54587156
Leotiomycetes	Fungi	12.46	2.522523513	57	6	28	23	0.105263158	0.49122807	0.403508772
Eurotiomycetes	Fungi	18.34	2.909084467	128	7	48	73	0.0546875	0.375	0.5703125
Sordariomycetes	Fungi	20.99	3.044046134	398	19	227	152	0.047738693	0.570351759	0.381909548
Dothideomycetes	Fungi	28.25	3.341093458	136	10	77	49	0.073529412	0.566176471	0.360294118
Alphaproteobacteria	Bacteria	0.4	-0.916290732	2149	427	818	904	0.198697068	0.380642159	0.420660772
Deltaproteobacteria	Bacteria	0.5	-0.693147181	1598	337	421	840	0.210888611	0.263454318	0.525657071
Acidobacteria	Bacteria	0.5	-0.693147181	2830	595	934	1301	0.21024735	0.330035336	0.459717314
Gemmatimonadetes	Bacteria	0.5	-0.693147181	961	171	279	511	0.177939646	0.290322581	0.531737773
Bacteroidetes	Bacteria	0.5	-0.693147181	819	143	219	457	0.174603175	0.267399267	0.557997558
Verrucomicrobia	Bacteria	0.6	-0.510825624	310	69	71	170	0.222580645	0.229032258	0.548387097
Planctomycetes	Bacteria	1	0	780	173	168	439	0.221794872	0.215384615	0.562820513
Chloroflexi	Bacteria	1.2	0.182321557	2557	489	686	1382	0.191239734	0.268283144	0.540477122
Firmicutes	Bacteria	3	1.098612289	455	79	195	181	0.173626374	0.428571429	0.397802198
Actinobacteria	Bacteria	4	1.386294361	2273	472	902	899	0.207655081	0.39683238	0.395512538
Gammaproteobacteria	Bacteria	5	1.609437912	2202	401	818	861	0.182107175	0.371480472	0.391008174
