body_size	Ln_body_size	phylum	shannon	niche_width	group
0.5	-0.693147181	Acidobacteria	7.637109682	24.29206746	CK
4	1.386294361	Actinobacteria	7.117650441	21.11431691	CK
9.16	2.214846179	Agaricomycetes	2.107225621	13.46220988	CK
0.4	-0.916290732	Alphaproteobacteria	7.129938789	23.97685818	CK
0.5	-0.693147181	Bacteroidetes	5.091187803	20.15857233	CK
14.14	2.64900766	Cercozoa	5.689086151	21.55599624	CK
1.2	0.182321557	Chloroflexi	7.01046607	22.99379181	CK
4.85	1.578978705	Chytridiomycota	3.115417194	12.2365675	CK
71.88846	4.275115751	Ciliophora	3.094274662	15.94140872	CK
0.5	-0.693147181	Deltaproteobacteria	6.61385837	22.2436812	CK
28.25	3.341093458	Dothideomycetes	2.451340585	11.81864194	CK
18.34	2.909084467	Eurotiomycetes	2.067025317	10.72055511	CK
3	1.098612289	Firmicutes	4.817945906	17.71837639	CK
5	1.609437912	Gammaproteobacteria	7.100841453	22.90112738	CK
0.5	-0.693147181	Gemmatimonadetes	5.830194267	22.1684138	CK
12.46	2.522523513	Leotiomycetes	1.091027686	11.36112061	CK
5	1.609437912	Nitrospirae	3.885249373	21.42224249	CK
40.47907	3.70078505	Ochrophyta	3.879199806	18.47631578	CK
1	0	Planctomycetes	5.246137214	17.22733304	CK
11.875	2.47443535	Schizoplasmodiida	1.846846209	14.33979245	CK
20.99	3.044046134	Sordariomycetes	3.287627112	21.67205144	CK
8.82	2.17702187	Tremellomycetes	0.626916256	6.989349035	CK
21.77412	3.080722109	Tubulinea	1.43528759	13.01739168	CK
0.6	-0.510825624	Verrucomicrobia	4.371032962	21.12147936	CK
0.5	-0.693147181	Acidobacteria	7.535083626	23.49765923	Warming
4	1.386294361	Actinobacteria	7.088500664	20.7578376	Warming
9.16	2.214846179	Agaricomycetes	2.177675078	8.457558059	Warming
0.4	-0.916290732	Alphaproteobacteria	7.023254023	23.51809078	Warming
0.5	-0.693147181	Bacteroidetes	5.106958317	20.34117577	Warming
14.14	2.64900766	Cercozoa	5.580410152	20.86138212	Warming
1.2	0.182321557	Chloroflexi	6.9855449	22.22583119	Warming
4.85	1.578978705	Chytridiomycota	3.271543046	13.46051336	Warming
71.88846	4.275115751	Ciliophora	3.353697425	15.28399591	Warming
0.5	-0.693147181	Deltaproteobacteria	6.524273036	21.12682643	Warming
28.25	3.341093458	Dothideomycetes	2.358824607	17.40851883	Warming
18.34	2.909084467	Eurotiomycetes	2.051118823	10.95663603	Warming
3	1.098612289	Firmicutes	4.933964112	17.03528136	Warming
5	1.609437912	Gammaproteobacteria	6.870454027	22.04323254	Warming
0.5	-0.693147181	Gemmatimonadetes	5.951286508	22.55219629	Warming
12.46	2.522523513	Leotiomycetes	0.991636819	12.73984745	Warming
5	1.609437912	Nitrospirae	3.780998063	21.68157476	Warming
40.47907	3.70078505	Ochrophyta	3.790409824	15.59432562	Warming
1	0	Planctomycetes	5.220233983	17.46456819	Warming
11.875	2.47443535	Schizoplasmodiida	2.043884428	17.03096361	Warming
20.99	3.044046134	Sordariomycetes	3.332413486	21.31068755	Warming
8.82	2.17702187	Tremellomycetes	0.514136489	7.270818974	Warming
21.77412	3.080722109	Tubulinea	1.449069821	10.13712046	Warming
0.6	-0.510825624	Verrucomicrobia	4.308839913	20.05191884	Warming
0.5	-0.693147181	Acidobacteria	7.553176424	24.30973112	N
4	1.386294361	Actinobacteria	7.286512554	22.07678754	N
9.16	2.214846179	Agaricomycetes	2.155353761	8.294632404	N
0.4	-0.916290732	Alphaproteobacteria	7.211348207	23.48697946	N
0.5	-0.693147181	Bacteroidetes	5.322416265	20.63167167	N
14.14	2.64900766	Cercozoa	5.506032781	21.14277723	N
1.2	0.182321557	Chloroflexi	7.109980718	22.69804912	N
4.85	1.578978705	Chytridiomycota	3.349323739	14.60961028	N
71.88846	4.275115751	Ciliophora	3.578467626	17.38288042	N
0.5	-0.693147181	Deltaproteobacteria	6.511643757	22.06821068	N
28.25	3.341093458	Dothideomycetes	2.388072753	18.42799707	N
18.34	2.909084467	Eurotiomycetes	2.005790517	8.615345689	N
3	1.098612289	Firmicutes	4.870777331	17.73185969	N
5	1.609437912	Gammaproteobacteria	7.138485348	22.15103522	N
0.5	-0.693147181	Gemmatimonadetes	5.82851257	22.84652707	N
12.46	2.522523513	Leotiomycetes	1.035290125	7.138490389	N
5	1.609437912	Nitrospirae	3.992046641	21.57838817	N
40.47907	3.70078505	Ochrophyta	4.029524948	15.65313401	N
1	0	Planctomycetes	5.254775993	19.19360572	N
11.875	2.47443535	Schizoplasmodiida	2.036281483	14.07487081	N
20.99	3.044046134	Sordariomycetes	3.465298728	21.18628549	N
8.82	2.17702187	Tremellomycetes	0.676095671	8.314048848	N
21.77412	3.080722109	Tubulinea	1.592273701	13.2944785	N
0.6	-0.510825624	Verrucomicrobia	4.264211906	21.24040707	N
0.5	-0.693147181	Acidobacteria	7.512840393	24.51760708	P
4	1.386294361	Actinobacteria	7.070690259	21.62822103	P
9.16	2.214846179	Agaricomycetes	2.301376183	10.33200358	P
0.4	-0.916290732	Alphaproteobacteria	7.144505965	23.01758076	P
0.5	-0.693147181	Bacteroidetes	5.135225153	20.38748109	P
14.14	2.64900766	Cercozoa	5.613860293	22.01476036	P
