	Fungcbhif	GH31	nifH	nirK	nirS	phoD	Urease	Invertase	NAG	ACP	Glucosidase
M-1-1	30655.16304	46759.9173	763485.1485	2582082.668	41945.32077	27212789.86	314.4813908	16.83174899	28.3437816	13.0281483	60.26855895
M-2-1	97874.8054	272833.0587	18627372.26	26724366.17	1058245.508	310178394.3	300.9051206	52.83110277	21.21385857	9.636850398	23.29746835
M-3-1	1489906.375	988654.8302	459196.6667	147179529.8	35520.46012	175404675.9	295.5731565	58.79790941	25.18907988	6.001327767	15.07300885
M-4-1	112299.016	259742.8053	10663194.44	26678078.51	3024394.941	2220767112	378.1720189	22.21077706	27.75208635	12.3339488	10.24889868
M-5-1	525969.6105	840244.9487	1648177.778	32874219.71	29722351.08	565805724.9	155.9433574	97.53293723	13.76572715	5.625761321	16.05555556
M-6-1	156578.4455	448082.9264	2065500	42989571.69	4427591.469	678128740.1	762.8293189	141.1006508	34.7929392	12.85540999	10.17298578
M-7-1	59593.9699	293378.9321	11898435.75	13358772.28	9764483.425	172236844.3	210.7559854	73.28497664	12.31739695	3.855648117	6.122317597
M-8-1	520841.6898	1148675.538	688100.6289	85511639.88	14177584.09	721343229	293.442623	67.77126692	63.36434109	10.72020885	44.75
M-9-1	1346131.387	93359.94753	70371052.63	29178422.9	1038761.443	103480631.3	162.9665477	17.24137931	22.27774086	9.797742471	43.75657895
M-10-1	70368.11664	3238686.029	3867906.977	148874750.9	16265881.93	843711067.1	234.796404	76.04726101	68.13306914	13.89912319	40.97268908
M-11-1	1198613.311	826952.0873	2100090.498	81295117.17	1219361.255	1916657777	796.5862344	121.0406207	28.9908999	10.69514857	14.80837004
M-12-1	491263.0033	372841.0274	1528226.3	102572542.8	20392478.45	961206447.3	405.2889793	71.71489491	19.6056338	5.708331203	13.06875
M-13-1	158887.4564	430037.6878	21913333.33	28012067.78	9521476.167	192475754.1	107.8465701	4.216786052	35.07712277	10.76036852	37.94747899
M-14-1	37939.42412	153160.5062	459171.5976	18305237.82	4983826.734	106590320.4	129.1280589	9.695487028	36.4378067	7.907087915	35.51008065
M-15-1	23411.24464	216511.449	635591.716	29963629.73	2756149.008	257877722.7	375.9647892	7.69467908	64.91072768	11.31887153	30.00655022
M-16-1	319848.3591	223205.2893	643891.129	59759740.82	4476416.595	421266449.8	604.6703621	85.13487414	43.76260465	12.86026913	17.07740586
M-17-1	28022.96014	144235.9979	440768.8442	7719849.459	7129207.018	140014789.5	129.0716488	34.88046647	31.02080783	5.452857719	14.0304878
M-18-1	25257.48655	66566.89545	263908.5366	13925573.6	93322.6983	64235252.98	311.9420164	6.391990759	38.75666478	11.85898398	17.90546218
M-19-1	441939.4426	10269.04456	18450	2081290.156	15814734.48	12007146.35	103.8756401	5.609189784	28.84599261	3.686911614	12.20813397
M-20-1	403418.6469	579110.3143	1669910.714	62779237.95	16538500.71	1030060703	362.0864382	34.3454455	46.25099132	12.27166024	18.51702128
M-21-1	212861.6834	219613.1515	822034.2857	103415946.3	19315157.53	1773441084	665.7758368	115.235218	33.59590356	9.270102919	15.972103
M-22-1	347524.9499	312231.0748	617714.2857	49988483.6	5171303.224	956330760	586.0275556	205.5393586	15.85674419	13.20734615	34.51287554
M-23-1	266709.0365	596513.1612	2662424.242	73267974.55	12895111.6	1521623276	369.0282172	99.05808477	28.62811278	12.21263161	34.44375
M-24-1	638128.379	780521.676	972590.1639	66179785.41	26243317.12	1489393295	530.0335464	166.5024631	64.4983096	9.2099002	27.14318182
M-25-1	201910.5178	105659.662	160215.8273	2356223.595	57734.68234	60330626.69	582.2519256	6.649306607	45.11080711	15.44325962	53.03974895
R-1-1	1396146.272	2805306.1	16935483.87	39972319.87	880737781.8	7648939.085	165.6414633	42.91400771	32.43410853	4.607627338	8.664179104
R-2-1	416209.9456	286606.2307	241923.0769	1046670.672	5691556.058	1805061595	135.1100885	17.44208938	23.7330637	3.67210222	24.86653386
R-3-1	713672.5488	1108894.653	863586.3095	35157207.06	333186057.5	1151665749	425.1573037	75.25115309	17.24729774	7.727232167	9.476694915
R-4-1	894891.4398	1744537.545	7122068.966	58194031.85	850164096.4	778735185.8	519.6435932	61.18815479	37.79831056	8.752774511	10.05502392
R-5-1	1040428.621	1924093.992	7845225.564	41374065.21	1487945153	1647061886	74.88677681	45.05541089	24.01508485	4.525095474	10.40346535
R-6-1	745937.2031	1428316.824	4766512.346	56389959.22	820689748.7	593871594.7	478.1822565	53.02197802	25.62176393	5.000874139	6.32480315
R-7-1	1217018.698	1611429.496	12452500	32689950.96	1795408521	1005113391	54.57936586	56.24155025	22.64451827	4.37451838	8.032894737
R-8-1	2033045.114	11114447.17	36984000	103232474.2	986000030.7	1845882405	180.8167389	50.08558262	42.51695523	18.25533015	31.68925234
R-9-1	1274683.561	2893931.66	12846801.62	49165517.16	985216893.3	101422558.8	303.2179721	60.77513574	24.99108889	5.813215918	18.46296296
R-10-1	367845.782	281115.9824	121030.1205	18388077.56	108681379.3	694039138	642.648367	7.222290114	54.70252781	18.60439729	20.97761194
R-11-1	1549515.066	14615967.05	42433160.62	120933787.8	1821811129	2919020430	218.6229508	30.66773537	46.22591362	16.36118027	12.62045455
