	Alphaproteobacteria	Deltaproteobacteria	Acidobacteria	Gemmatimonadetes	Bacteroidetes	Verrucomicrobia	Planctomycetes	Chloroflexi	Firmicutes	Actinobacteria	Gammaproteobacteria	Nitrospirae	Chytridiomycota	Leotiomycetes	Eurotiomycetes	Sordariomycetes	Dothideomycetes	Agaricomycetes	Tremellomycetes	Cercozoa	Ciliophora	Ochrophyta	Schizoplasmodiida	Tubulinea
M-1-1	0.126414713	0.029944759	0.140359741	0.06490838	0.042980329	0.020816492	0.008757747	0.057194826	0.029877392	0.167879278	0.262732417	0.008656696	0.22875257	0.043694311	0.026045236	0.125428376	0.027930089	0.012851268	0.040267306	0.605312346	0.212985735	0.070929661	0.007673389	0.002951303
M-2-1	0.157437348	0.030551064	0.203718674	0.069354621	0.015292374	0.04604554	0.016976556	0.082423875	0.012900835	0.148039612	0.14635543	0.013608192	0.651816313	0.199108979	0.026216587	0.383310487	0.036154901	0.048149417	0.012165867	0.480472209	0.192326611	0.138022627	0.008165273	0.002852927
M-3-1	0.207693344	0.039814066	0.172931824	0.071476691	0.028563729	0.012462948	0.026138507	0.086028025	0.017987065	0.152485853	0.130018863	0.008589329	0.59270048	0.083104866	0.027073338	0.226010966	0.10023989	0.053632625	0.005311857	0.176586326	0.623020167	0.148647319	0.001377275	0.002951303
M-4-1	0.200080841	0.037052008	0.146456481	0.095189976	0.014416599	0.029271086	0.040386688	0.075922932	0.01849232	0.154136351	0.120890596	0.008623013	0.666552433	0.1425634	0.043694311	0.431117204	0.029814942	0.008910212	0.032042495	0.193015248	0.033743237	0.061682243	0.008460403	0.001770782
M-5-1	0.138473457	0.057733764	0.196544058	0.067165185	0.038062517	0.021187012	0.014618701	0.134902991	0.012395581	0.068445163	0.192973592	0.012159795	0.76439342	0.200479781	0.003084304	0.529472241	0.023817683	0.017649075	0.001542152	0.192916872	0.145991146	0.023413674	0.000196754	0.004328578
M-6-1	0.134296686	0.054163298	0.209613312	0.090036378	0.048201293	0.018694422	0.027789006	0.119374832	0.01488817	0.090777418	0.136014551	0.008488278	0.815284441	0.023474983	0.011823167	0.335332419	0.112748458	0.006339959	0.003941056	0.311264142	0.478504673	0.089621249	0.002361043	0.00885391
M-7-1	0.162860415	0.042037187	0.197386149	0.105328752	0.046079224	0.012732417	0.011385071	0.092192132	0.023241714	0.06915252	0.162287793	0.010475613	0.352467443	0.027587389	0.013708019	0.218471556	0.044379712	0.016278273	0.001199452	0.540186916	0.074963109	0.084308903	0.00275455	0.015051648
M-8-1	0.14460388	0.058036917	0.218303692	0.085926974	0.036108866	0.029136351	0.025902722	0.059215845	0.024824845	0.070398814	0.189638911	0.007983023	0.57111035	0.032556546	0.009938314	0.339102125	0.039924606	0.010795065	0.011651816	0.229611412	0.264240039	0.065518938	0.017707821	0.006689621
M-9-1	0.224434115	0.038433037	0.188763137	0.075821881	0.025565885	0.0181218	0.021119644	0.063729453	0.012092428	0.095493129	0.173437079	0.009397736	0.716244003	0.070938999	0.019362577	0.541295408	0.038553804	0.016963674	0.034612748	0.280373832	0.195573045	0.212887359	0.012493851	0.005017216
M-10-1	0.199744004	0.058373754	0.172258151	0.055039073	0.022871194	0.021018593	0.023039612	0.077371328	0.014079763	0.116511722	0.175289679	0.018761789	0.277587389	0.046093215	0.012851268	0.173577793	0.032042495	0.024845785	0.001028101	0.091588785	0.132316773	0.175209051	0.006197737	0.002557796
M-11-1	0.134532471	0.055679062	0.189942064	0.073834546	0.032976287	0.021759634	0.021995419	0.086499596	0.00980194	0.114726489	0.19489356	0.01118297	0.739033585	0.02827279	0.03564085	0.360692255	0.277073338	0.046264565	0.003598355	0.384849975	0.100639449	0.125332022	0.006099361	0.029217905
M-12-1	0.1684519	0.049616006	0.154405821	0.085859607	0.042407707	0.015090272	0.021759634	0.091888979	0.016875505	0.108259229	0.180780113	0.011014551	0.859321453	0.01439342	0.003941056	0.174091844	0.00685401	0.000685401	0.000856751	0.395769798	0.424299065	0.058534186	0.001180521	0.023905558
M-13-1	0.137429264	0.045001347	0.163264619	0.093674212	0.031729992	0.021153328	0.011048235	0.080268122	0.032100512	0.096436271	0.194859876	0.012025061	0.834132968	0.044722413	0.003598355	0.741432488	0.021932831	0.006682659	0.008224812	0.288735858	0.195277914	0.109591736	0.01436301	0.003246434
M-14-1	0.163298302	0.028226893	0.178725411	0.073160873	0.010576664	0.016808138	0.044731878	0.164544597	0.012766101	0.122810563	0.121328483	0.012563999	0.739033585	0.088245374	0.155071967	0.431288554	0.027758739	0.004626456	0.055688828	0.229217905	0.087653714	0.063354648	0.01987211	0.077029021
M-15-1	0.144637564	0.04170035	0.184518998	0.082390191	0.016707087	0.019469146	0.032066828	0.109067637	0.013810294	0.124831582	0.151138507	0.0090609	0.559801234	0.022446881	0.017649075	0.399588759	0.038896504	0.058773132	0.000685401	0.245450074	0.041219872	0.134284309	0.012198721	0.009149041
M-16-1	0.173807599	0.046550795	0.136890326	0.099973053	0.024858529	0.027317435	0.0199744	0.100747777	0.021052277	0.159087847	0.128098895	0.009700889	0.148046607	0.01422207	0.017306374	0.089444825	0.020733379	0.002056203	0.00017135	0.571077226	0.206984752	0.026364978	0.003935071	0.002164289
M-17-1	0.132713554	0.07100512	0.19054837	0.085185934	0.027485853	0.018222851	0.011048235	0.10761924	0.015427109	0.071341956	0.199912423	0.013305039	0.629369431	0.065284441	0.019362577	0.352810144	0.080705963	0.01405072	0.000856751	0.574028529	0.267388096	0.063551402	0.009345794	0.001967536
M-18-1	0.123955807	0.047359202	0.226320399	0.080672326	0.040386688	0.0162692	0.013237672	0.160165724	0.022702776	0.086364861	0.122473727	0.00757882	0.529472241	0.024503084	0.025702536	0.429746402	0.027416038	0.042494859	0.017306374	0.645548451	0.034923758	0.08745696	0.006099361	0.019085096
