Group	CMRA	CMTB
Bacteria	-0.172039243	1.991302197
Bacteria	-0.239136407	1.951105064
Bacteria	-0.227763078	1.937153939
Bacteria	-0.193567097	1.874325681
Bacteria	-0.243920531	1.961317481
Bacteria	-0.086881938	1.856419833
Bacteria	-0.098745406	1.941700374
Bacteria	-0.072022572	1.913726761
Bacteria	-0.105632566	1.899360032
Bacteria	-0.077149694	1.914757699
Bacteria	-0.100225658	1.797540535
Bacteria	-0.127082832	1.765211642
Bacteria	-0.113519976	1.913218134
Bacteria	-0.111465885	1.775501588
Bacteria	-0.134770765	1.799828588
Bacteria	-0.122403735	1.81479884
Bacteria	-0.121143951	1.96907978
Bacteria	-0.125204765	1.910531833
Bacteria	-0.129537356	1.900498162
Bacteria	-0.138431994	1.870146913
Bacteria	-0.10362685	1.92636003
Bacteria	-0.137962458	1.813951664
Bacteria	-0.127881823	1.858849572
Bacteria	-0.106946852	1.885874966
Bacteria	-0.117460493	1.853018824
Bacteria	-0.194591442	1.704106611
Bacteria	-0.19558797	1.682752233
Bacteria	-0.170507487	1.712128059
Bacteria	-0.195386291	1.714152738
Bacteria	-0.232929869	1.703501282
Bacteria	-0.157134374	1.689039171
Bacteria	-0.146102608	1.759312063
Bacteria	-0.134008404	1.785612249
Bacteria	-0.156782458	1.710771236
Bacteria	-0.166769492	1.713588453
Bacteria	-0.128410145	1.791065329
Bacteria	-0.111695602	1.815713526
Bacteria	-0.10601149	1.818002623
Bacteria	-0.124298323	1.824706212
Bacteria	-0.119719857	1.830485127
Bacteria	-0.086755723	1.788405399
Bacteria	-0.096445371	1.845631607
Bacteria	-0.07614281	1.821768166
Bacteria	-0.084334458	1.810374909
Bacteria	-0.08675554	1.845699903
Bacteria	-0.129379903	1.939502487
Bacteria	-0.194562298	1.954401464
Bacteria	-0.166269076	1.992979624
Bacteria	-0.182829285	1.979026298
Bacteria	-0.237182603	2.038030229
Bacteria	-0.165708789	1.852659382
Bacteria	-0.128847502	1.889275191
Bacteria	-0.129741202	1.938764319
Bacteria	-0.238760692	1.775683409
Bacteria	-0.118914283	1.999687674
Bacteria	-0.14403844	1.726097194
Bacteria	-0.204451613	1.343355148
Bacteria	-0.130252471	1.686974402
Bacteria	-0.122151876	1.7020884
Bacteria	-0.138804953	1.650155849
Bacteria	-0.105735762	1.81367634
Bacteria	-0.119589783	1.806720757
Bacteria	-0.109438791	1.873465299
Bacteria	-0.103951707	1.809864727
Bacteria	-0.089936604	1.82798901
Bacteria	-0.111261724	1.784506668
Bacteria	-0.113275842	1.828856373
Bacteria	-0.112942288	1.795102404
Bacteria	-0.119485294	1.789323287
Bacteria	-0.111211064	1.765255877
Bacteria	-0.107625916	1.794279963
Bacteria	-0.116382284	1.813818264
Bacteria	-0.127706998	1.750253245
Bacteria	-0.151072074	1.742397025
Bacteria	-0.101171554	1.750543622
Bacteria	-0.103396368	1.829450125
Bacteria	-0.10425758	1.835352036
Bacteria	-0.099251251	1.841423945
Bacteria	-0.091333252	1.842606484
Bacteria	-0.074126835	1.854955225
Bacteria	-0.126661605	1.767065179
Bacteria	-0.096993828	1.844484117
Bacteria	-0.143966847	1.755725223
Bacteria	-0.170085798	1.810469355
Bacteria	-0.117144898	1.765202049
Bacteria	-0.180428353	2.513205767
Bacteria	-0.144727727	2.458358443
Bacteria	-0.238306417	2.778222698
Bacteria	-0.234564303	2.772378759
Bacteria	-0.172764403	2.707145822
Bacteria	-0.129899026	1.678295449
Bacteria	-0.124036564	1.759750306
Bacteria	-0.128107079	1.758662279
Bacteria	-0.121914007	1.727354886
Bacteria	-0.131178651	1.736119384
Bacteria	-0.149451622	1.710345111
Bacteria	-0.132864758	1.747703498
Bacteria	-0.132510073	1.746938797
Bacteria	-0.148557909	1.714258519
Bacteria	-0.15224565	1.718020232
Bacteria	-0.076424296	1.733774114
Bacteria	-0.092374092	1.775917674
Bacteria	-0.08613686	1.766053059
Bacteria	-0.082764101	1.749490185
Bacteria	-0.088334916	1.74569319
Bacteria	-0.112320429	1.74845254
Bacteria	-0.133752512	1.806303459
Bacteria	-0.127994151	1.819452023
Bacteria	-0.122052433	1.740527784
Bacteria	-0.166603407	1.672220776
Bacteria	-0.12782251	1.742192303
Bacteria	-0.113453247	1.736393613
Bacteria	-0.090180195	1.781774878
Bacteria	-0.147334079	1.541201573
Bacteria	-0.087591367	1.658434272
Bacteria	-0.101572472	1.753216543
Bacteria	-0.102487873	1.811880669
Bacteria	-0.123136316	1.836104659
Bacteria	-0.097418085	1.758056205
Bacteria	-0.106086871	1.789610057
Bacteria	-0.13707948	1.768504952
Bacteria	-0.154107494	1.879244287
Bacteria	-0.174013517	1.880832265
Bacteria	-0.181850845	1.772248706
Bacteria	-0.103395933	1.872793801
Bacteria	-0.103859387	1.669574162
Bacteria	-0.151115956	1.595297098
Bacteria	-0.140545629	1.602140348
Bacteria	-0.160135537	1.613143169
Bacteria	-0.150537112	1.663612131
Bacteria	-0.113523025	1.969829871
Bacteria	-0.103673402	1.797850933
Bacteria	-0.114772152	1.96459923
Bacteria	-0.088688066	1.813144521
Bacteria	-0.082395671	1.860860893
Bacteria	-0.125061301	1.781733175
Bacteria	-0.139131926	1.804924175
Bacteria	-0.125400247	1.780391525
Bacteria	-0.108888853	1.776999281
Bacteria	-0.147460622	1.79331058
Bacteria	-0.156042172	1.716592301
Bacteria	-0.154705265	1.653446103
Bacteria	-0.117440997	1.692181998
Bacteria	-0.119131626	1.665078225
Bacteria	-0.131761623	1.696549571
Bacteria	-0.140463948	1.72772117
Bacteria	-0.120301536	1.64441914
Bacteria	-0.120295781	1.722423597
Bacteria	-0.123630676	1.749797856
Bacteria	-0.120974191	1.777457863
Bacteria	-0.136093017	1.720093852
Bacteria	-0.112710765	1.688439922
Bacteria	-0.112803351	1.781305736
Bacteria	-0.12062337	1.820039405
Bacteria	-0.146983753	1.762604951
Bacteria	-0.192564024	1.892457984
Bacteria	-0.296117774	1.932184363
Bacteria	-0.150051744	1.868873787
Bacteria	-0.117593903	1.953040009
Bacteria	-0.244209779	1.92898548
Bacteria	-0.115232903	2.172527435
Bacteria	-0.075992519	2.075252593
Bacteria	-0.073816555	2.045657978
Bacteria	-0.075952098	2.038364549
Bacteria	-0.131204097	2.182946505
Bacteria	-0.199715885	1.577697811
Bacteria	-0.111972402	1.657214129
Bacteria	-0.091381683	1.78680333
Bacteria	-0.109843217	1.73748569
Bacteria	-0.184702234	1.60082505
Bacteria	-0.144973471	1.848763358
Bacteria	-0.115446594	1.824472115
Bacteria	-0.104259353	1.85064307
Bacteria	-0.112006294	1.884415601
Bacteria	-0.205042793	1.897597285
Bacteria	-0.100717359	1.660978925
Bacteria	-0.076600061	1.721511567
Bacteria	-0.079082156	1.813186181
Bacteria	-0.083109208	1.754380474
Bacteria	-0.126151531	1.661683263
Bacteria	-0.165957509	1.667338866
Bacteria	-0.172811366	1.67517542
Bacteria	-0.16897688	1.704995568
Bacteria	-0.164883729	1.655780502
Bacteria	-0.140266577	1.748070967
Bacteria	-0.107292066	1.699878786
Bacteria	-0.099214375	1.680738603
Bacteria	-0.085757019	1.750144343
Bacteria	-0.094269479	1.744145622
Bacteria	-0.12418626	1.691691079
Bacteria	-0.106653473	1.751695722
Bacteria	-0.105474057	1.738224633
Bacteria	-0.096223558	1.781395397
Bacteria	-0.087017225	1.801373185
Bacteria	-0.15441926	1.749589055
Bacteria	-0.09938748	1.765004292
Bacteria	-0.0869243	1.739131708
Bacteria	-0.072568678	1.815818246
Bacteria	-0.06551842	1.831908753
Bacteria	-0.112125281	1.795179131
Bacteria	-0.097252201	1.767666698
Bacteria	-0.095470218	1.750246593
Bacteria	-0.07735931	1.817434884
Bacteria	-0.10104369	1.827725422
