group1	group2	ST.i.ruzicka	NST.i.ruzicka	MST.i.ruzicka
CK	Bacteria	0.867612	0.5199994	0.4381303
Warming	Bacteria	0.8658569	0.5109104	0.4262299
addN	Bacteria	0.8691405	0.5286779	0.459896
addP	Bacteria	0.8787653	0.5464329	0.4662545
addNP	Bacteria	0.8800526	0.5138749	0.4298967
CK	Fungi	0.8012708	0.5910848	0.3219671
Warming	Fungi	0.8060461	0.470971	0.3471681
addN	Fungi	0.7739695	0.4672831	0.2838865
addP	Fungi	0.7588022	0.4136748	0.2576248
addNP	Fungi	0.8000152	0.5605466	0.3008926
CK	Protist	0.8336364	0.4555178	0.241492
Warming	Protist	0.8338319	0.4442113	0.2500159
addN	Protist	0.8269232	0.4258062	0.2444747
addP	Protist	0.7909569	0.3074585	0.1962425
addNP	Protist	0.8270465	0.4228068	0.2422163
